DB名,実装済み区間,何灯式,次の信号機のDB名1,次の信号機のDB名2,次の信号機のDB名3,次の信号機のDB名4,次の信号機のDB名5,,対応進路名1,対応進路名2,対応進路名3,対応進路名4,対応進路名5,対応進路名6,対応進路名7,対応進路名8,対応進路名9,対応進路名10,対応進路名11,,対応方向進路名1,対応方向進路名2,向き,防護区間軌道回路
JR浜園上り出発3R,X,なし,なし,なし,なし,なし,なし,中継信号機の場合、『次の信号機』には主信号機を指定する,,,,,,,,,,,,,,,なし,なし
JR浜園上り出発4R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
JR浜園下り出発3L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
JR浜園下り出発4L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
JR浜園場内1L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
JR浜園場内2L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三石上り出発14R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三石上り出発15R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三石上り場内12R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三石上り場内13R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三石下り出発12L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三石下り出発13L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三石下り場内14L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三石下り場内15L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三郷上り出発13R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三郷上り場内12R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三郷下り出発12L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
三郷下り場内14L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上吉沢上り出発14R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上吉沢上り出発15R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上吉沢上り場内12R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上吉沢上り場内13R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上吉沢下り出発12L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上吉沢下り出発13L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上吉沢下り場内14L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
上吉沢下り場内15L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下吉沢上り出発14R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下吉沢上り出発14R中継,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下吉沢上り出発15R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下吉沢上り場内12R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下吉沢上り場内13R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下吉沢下り出発12L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下吉沢下り出発13L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下吉沢下り場内14L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
下吉沢下り場内15L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
二木戸上り出発13R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
二木戸上り場内12R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
二木戸下り出発12L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
二木戸下り場内14L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
名田上り出発14R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
名田上り出発15R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
名田上り場内12R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
名田上り場内13R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
名田下り出発12L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
名田下り出発13L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
名田下り場内14L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
名田下り場内15L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路上り出発4L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路上り出発5L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路上り場内8L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路上り場内9L,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路上り場内10LB,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路上り場内10LC,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路下り出発6R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路下り出発7R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路下り場内2R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大路下り場内3R,X,なし,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
大道寺上り出発7R,O,4灯YG式,上り閉塞166,なし,なし,なし,なし,,TH65_7R,,,,,,,,,,,,,,なし,なし
大道寺上り出発8R,O,3灯式,上り閉塞166,なし,なし,なし,なし,,TH65_8R,,,,,,,,,,,,,,なし,なし
大道寺上り出発9R,O,3灯式,上り閉塞166,なし,なし,なし,なし,,TH65_9R,,,,,,,,,,,,,,なし,なし
大道寺上り出発10R,O,3灯式,上り閉塞166,なし,なし,なし,なし,,TH65_10R,,,,,,,,,,,,,,なし,なし
大道寺上り場内1R,O,4灯YG式（距離不足）,大道寺上り場内2R,大道寺上り場内3R,大道寺上り場内4R,なし,なし,,TH65_1RTA,TH65_1RTB,TH65_1RTC,,,,,,,,,,,,なし,なし
大道寺上り場内2R,O,4灯YY式,大道寺上り出発7R,大道寺入換21R,なし,なし,なし,,TH65_2R,,,,,,,,,,,,,,なし,なし
大道寺上り場内3R,O,4灯YY式,大道寺上り出発8R,大道寺入換22R,なし,なし,なし,,TH65_3R,,,,,,,,,,,,,,なし,なし
大道寺上り場内4R,O,4灯YY式,大道寺上り出発9R,大道寺入換23R,なし,なし,なし,,TH65_4R,,,,,,,,,,,,,,なし,なし
大道寺下り出発5L,O,4灯YG式,江ノ原信号場下り場内5LD,江ノ原信号場下り場内5LE,なし,なし,なし,,TH65_5L,,,,,,,,,,,,,,なし,なし
大道寺下り出発6L,O,4灯YG式,江ノ原信号場下り場内5LD,江ノ原信号場下り場内5LE,なし,なし,なし,,TH65_6L,,,,,,,,,,,,,,なし,なし
大道寺下り場内11L,O,4灯YY式G無,大道寺下り出発5L,なし,なし,なし,なし,,TH65_11L,,,,,,,,,,,,,,なし,なし
大道寺下り場内12L,O,4灯YY式,大道寺下り出発6L,なし,なし,なし,なし,,TH65_12L,,,,,,,,,,,,,,なし,なし
大道寺下り場内13LC,O,4灯YG式,大道寺下り場内11L,なし,なし,なし,なし,,TH65_13LSC,,,,,,,,,,,,,,なし,なし
大道寺下り場内13LD,O,4灯YG式,大道寺下り場内12L,なし,なし,なし,なし,,TH65_13LSD,,,,,,,,,,,,,,なし,なし
大道寺下り場内13L中継,O,中継（灯列）,大道寺下り場内13LC,大道寺下り場内13LD,なし,なし,なし,,TH65_13LSC,TH65_13LSD,,,,,,,,,,,,,なし,なし
大道寺入換21R,O,入換信号機,なし,なし,なし,なし,なし,,TH65_21RX,TH65_21RY,,,,,,,,,,,,,なし,なし
大道寺入換22R,O,入換信号機,大道寺入換30R,なし,なし,なし,なし,,TH65_22RX,TH65_22RY,TH65_22RE,,,,,,,,,,,,なし,なし
大道寺入換23R,O,入換信号機,大道寺入換30R,なし,なし,なし,なし,,TH65_23RX,TH65_23RY,TH65_23RE,,,,,,,,,,,,なし,なし
大道寺入換24R,O,入換信号機,大道寺入換30R,なし,なし,なし,なし,,TH65_24RX,TH65_24RY,TH65_24RE,,,,,,,,,,,,なし,なし
大道寺入換25R,O,入換信号機,大道寺入換30R,なし,なし,なし,なし,,TH65_25RX,TH65_25RY,TH65_25RE,,,,,,,,,,,,なし,なし
大道寺入換26R,O,入換信号機,大道寺入換30R,なし,なし,なし,なし,,TH65_26RX,TH65_26RY,TH65_26RE,,,,,,,,,,,,なし,なし
大道寺入換27L,O,入換信号機,なし,なし,なし,なし,なし,,TH65_27L,,,,,,,,,,,,,,なし,なし
大道寺入換28L,O,入換信号機,なし,なし,なし,なし,なし,,TH65_28L,,,,,,,,,,,,,,なし,なし
大道寺入換29L,O,入換信号機,大道寺入換27L,大道寺入換28L,なし,なし,なし,,TH65_29LB,TH65_29LSC,TH65_29LSD,TH65_29L5,TH65_29L6,,,,,,,,,,なし,なし
大道寺入換30R,O,入換信号機,なし,なし,なし,なし,なし,,TH65_30R,,,,,,,,,,,,,,なし,なし
大道寺入換31L,O,入換信号機,大道寺入換27L,大道寺入換28L,なし,なし,なし,,TH65_31LA,TH65_31LB,TH65_31LSC,TH65_31LSD,TH65_31L5,TH65_31L6,,,,,,,,,なし,なし
大道寺入換32L,O,入換信号機,大道寺入換28L,大道寺入換27L,大道寺入換29L,なし,なし,,TH65_32LA,TH65_32LB,TH65_32LSC,TH65_32LSD,TH65_32LE,TH65_32L5,TH65_32L6,,,,,,,,なし,なし
新大路上り出発4L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路上り出発5L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路上り場内10L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路上り場内11L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路上り場内12LC,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路上り場内12LD,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路下り出発6R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路下り出発7R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路下り出発8R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路下り出発9R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路下り場内1RA,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路下り場内1RB,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路下り場内2R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新大路下り場内3R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
新野崎上り出発6R,O,4灯YG式,上り閉塞136,なし,なし,なし,なし,,TH67_6R,,,,,,,,,,,,,,なし,なし
新野崎上り出発7R,O,4灯YG式,上り閉塞136,なし,なし,なし,なし,,TH67_7R,,,,,,,,,,,,,,なし,なし
新野崎上り出発8R,O,4灯YG式,上り閉塞136,なし,なし,なし,なし,,TH67_8R,,,,,,,,,,,,,,なし,なし
新野崎上り出発9R,O,4灯YG式,上り閉塞136,なし,なし,なし,なし,,TH67_9R,,,,,,,,,,,,,,なし,なし
新野崎上り場内1RA,O,2灯式,新野崎上り出発8R,なし,なし,なし,なし,,TH67_1RA,,,,,,,,,,,,,,なし,なし
新野崎上り場内1RB,O,4灯YG式,新野崎上り出発9R,なし,なし,なし,なし,,TH67_1RB,,,,,,,,,,,,,,なし,なし
新野崎下り出発2L,O,4灯YG式,下り閉塞123,なし,なし,なし,なし,,TH67_2L,,,,,,,,,,,,,,なし,なし
新野崎下り出発3L,O,4灯YG式,下り閉塞123,なし,なし,なし,なし,,TH67_3L,,,,,,,,,,,,,,なし,なし
新野崎下り場内4L,O,5灯式,新野崎下り出発2L,なし,なし,なし,なし,,TH67_4L,,,,,,,,,,,,,,なし,なし
新野崎下り場内5L,O,4灯YY式,新野崎下り出発3L,なし,なし,なし,なし,,TH67_5L,,,,,,,,,,,,,,なし,なし
新野崎下り場内10LC,O,4灯YG式,新野崎下り場内4L,なし,なし,なし,なし,,TH67_10LSC,,,,,,,,,,,,,,なし,なし
新野崎下り場内10LD,O,2灯式,新野崎下り場内5L,なし,なし,なし,なし,,TH67_10LSD,,,,,,,,,,,,,,なし,なし
新野崎入換21L,O,入換信号機,なし,なし,なし,なし,なし,,TH67_21L,,,,,,,,,,,,,,なし,なし
新野崎入換22L,O,入換信号機,なし,なし,なし,なし,なし,,TH67_22L,,,,,,,,,,,,,,なし,なし
新野崎入換23R,O,入換信号機,なし,なし,なし,なし,なし,,TH67_23R,,,,,,,,,,,,,,なし,なし
新野崎入換24R,O,入換信号機,なし,なし,なし,なし,なし,,TH67_24R,,,,,,,,,,,,,,なし,なし
新野崎入換25L,O,入換信号機,新野崎入換21L,新野崎入換22L,なし,なし,なし,,TH67_25LC,TH67_25LD,,,,,,,,,,,,,なし,なし
日野森上り出発5R,O,4灯YG式,上り閉塞238,なし,なし,なし,なし,,TH61_5R,,,,,,,,,,,,,,なし,なし
日野森上り場内2RA,O,2灯式,なし,なし,なし,なし,なし,,TH61_2RA,,,,,,,,,,,,,,なし,なし
日野森上り場内2RB,O,4灯YG式,日野森上り出発5R,なし,なし,なし,なし,,TH61_2RB,,,,,,,,,,,,,,なし,なし
日野森下り出発3L,O,4灯YG式,下り閉塞227,なし,なし,なし,なし,,TH61_3L,,,,,,,,,,,,,,なし,なし
日野森下り出発4L,O,4灯YG式,下り閉塞227,なし,なし,なし,なし,,TH61_4L,,,,,,,,,,,,,,なし,なし
日野森下り場内6L,O,4灯YG式,日野森下り出発4L,なし,なし,なし,なし,,TH61_6L,,,,,,,,,,,,,,なし,なし
東井上り出発5R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
東井上り出発6R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
東井上り出発7R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
東井上り場内1R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
東井下り出発2L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
東井下り出発3L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
東井下り出発4L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
東井下り場内8L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
東井下り場内9L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
水越上り出発14R,O,3灯式,上り閉塞200,なし,なし,なし,なし,,TH63_14R,,,,,,,,,,,,,,なし,なし
水越上り出発15R,O,4灯YG式,上り閉塞200,なし,なし,なし,なし,,TH63_15R,,,,,,,,,,,,,,なし,なし
水越上り出発15R中継,O,中継（灯列）,水越上り出発15R,なし,なし,なし,なし,,TH63_15R,,,,,,,,,,,,,,なし,なし
水越上り場内12R,O,3灯式,水越上り出発14R,なし,なし,なし,なし,,TH63_12R,,,,,,,,,,,,,,なし,なし
水越上り場内13R,O,5灯式,水越上り出発15R,なし,なし,なし,なし,,TH63_13R,,,,,,,,,,,,,,なし,なし
水越下り出発12L,O,3灯式,下り閉塞193,なし,なし,なし,なし,,TH63_12L,,,,,,,,,,,,,,なし,なし
水越下り出発13L,O,4灯YG式,下り閉塞193,なし,なし,なし,なし,,TH63_13L,,,,,,,,,,,,,,なし,なし
水越下り出発13L中継,O,中継（灯列）,水越下り出発13L,なし,なし,なし,なし,,TH63_13L,,,,,,,,,,,,,,なし,なし
水越下り場内14L,O,4灯YY式,水越下り出発12L,なし,なし,なし,なし,,TH63_14L,,,,,,,,,,,,,,なし,なし
水越下り場内15L,O,4灯YG式,水越下り出発13L,なし,なし,なし,なし,,TH63_15L,,,,,,,,,,,,,,なし,なし
江ノ原信号場入換11R,O,入換信号機,江ノ原信号場入換13R,なし,なし,なし,なし,,TH66S_11R,,,,,,,,,,,,,,なし,なし
江ノ原信号場入換13R,O,入換信号機,なし,なし,なし,なし,なし,,TH66S_13RA,TH66S_13RB,,,,,,,,,,,,,なし,なし
江ノ原信号場入換15L,O,入換信号機,なし,なし,なし,なし,なし,,TH66S_15LN,TH66S_15L1,TH66S_15L2,TH66S_15L3,TH66S_15L4,TH66S_15L5,TH66S_15L6,TH66S_15L7,TH66S_15L8,TH66S_15L9,TH66S_15L13,,,,なし,なし
江ノ原信号場入換16L,O,入換信号機,なし,なし,なし,なし,なし,,TH66S_16LN,TH66S_16L1,TH66S_16L2,TH66S_16L3,TH66S_16L4,TH66S_16L5,TH66S_16L6,TH66S_16L7,TH66S_16L8,TH66S_16L9,TH66S_16L13,,,,なし,なし
江ノ原信号場上り出発2R,O,3灯式,上り閉塞156,なし,なし,なし,なし,,TH66S_2R,,,,,,,,,,,,,,なし,なし
江ノ原信号場上り場内1RA,O,2灯式,なし,なし,なし,なし,なし,,TH66S_1RA,,,,,,,,,,,,,,なし,なし
江ノ原信号場上り場内1RB,O,2灯式,なし,なし,なし,なし,なし,,TH66S_1RB,,,,,,,,,,,,,,なし,なし
江ノ原信号場上り場内1RC,O,4灯YG式,上り閉塞156,なし,なし,なし,なし,,TH66S_1RC,,,,,,,,,,,,,,なし,なし
江ノ原信号場下り出発3L,O,3灯式,下り閉塞151,なし,なし,なし,なし,,TH66S_3L,,,,,,,,,,,,,,なし,なし
江ノ原信号場下り出発4L,O,3灯式,下り閉塞151,なし,なし,なし,なし,,TH66S_4L,,,,,,,,,,,,,,なし,なし
江ノ原信号場下り場内5LD,O,2灯式,なし,なし,なし,なし,なし,,TH66S_5LD,,,,,,,,,,,,,,なし,なし
江ノ原信号場下り場内5LE,O,4灯YG式,下り閉塞151,なし,なし,なし,なし,,TH66S_5LE,,,,,,,,,,,,,,なし,なし
江ノ原信号場内入換,O,入換信号機,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
津崎上り出発4R,O,4灯YG式,上り閉塞86,なし,なし,なし,なし,,TH71_4R,,,,,,,,,,,,,,なし,なし
津崎上り出発5R,O,4灯YG式,上り閉塞86,なし,なし,なし,なし,,TH71_5R,,,,,,,,,,,,,,なし,なし
津崎上り場内1RA,O,2灯式,津崎上り出発4R,なし,なし,なし,なし,,TH71_1RA,,,,,,,,,,,,,,なし,なし
津崎上り場内1RB,O,4灯YG式,津崎上り出発5R,なし,なし,なし,なし,,TH71_1RB,,,,,,,,,,,,,,なし,なし
津崎上り場内1R中継,O,中継（灯列）,津崎上り場内1RA,津崎上り場内1RB,なし,なし,なし,,TH71_1RA,TH71_1RB,,,,,,,,,,,,,なし,なし
津崎下り出発2L,O,4灯YG式,下り閉塞75,なし,なし,なし,なし,,TH71_2L,,,,,,,,,,,,,,なし,なし
津崎下り出発2L中継,O,中継（灯列）,津崎下り出発2L,なし,なし,なし,なし,,TH71_2L,,,,,,,,,,,,,,なし,なし
津崎下り出発3L,O,4灯YG式,下り閉塞75,なし,なし,なし,なし,,TH71_3L,,,,,,,,,,,,,,なし,なし
津崎上り出発5R中継,O,中継（灯列）,津崎上り出発5R,なし,なし,なし,なし,,TH71_5R,,,,,,,,,,,,,,なし,なし
津崎下り場内6LC,O,4灯YG式,津崎下り出発2L,なし,なし,なし,なし,,TH71_6LC,,,,,,,,,,,,,,なし,なし
津崎下り場内6LD,O,2灯式,津崎下り出発3L,なし,なし,なし,なし,,TH71_6LD,,,,,,,,,,,,,,なし,なし
津崎下り場内6L中継,O,中継（灯列）,津崎下り場内6LC,津崎下り場内6LD,なし,なし,なし,,TH71_6LC,TH71_6LD,,,,,,,,,,,,,なし,なし
浜園上り出発3R中継,O,4灯YG式,浜園上り出発3R,なし,なし,なし,なし,,TH70_3R,,,,,,,,,,,,,,なし,なし
浜園上り出発3R,O,4灯YG式,上り閉塞102,なし,なし,なし,なし,,TH70_3R,,,,,,,,,,,,,,なし,なし
浜園上り出発4R,O,4灯YG式,上り閉塞102,なし,なし,なし,なし,,TH70_4R,,,,,,,,,,,,,,なし,なし
浜園上り場内1R,O,4灯YG式,浜園上り出発3R,なし,なし,なし,なし,,TH70_1R,,,,,,,,,,,,,,なし,なし
浜園上り場内1R中継,O,4灯YG式,浜園上り場内1R,なし,なし,なし,なし,,TH70_1R,,,,,,,,,,,,,,なし,なし
浜園下り出発2L,O,4灯YG式,下り閉塞89,なし,なし,なし,なし,,TH70_2L,,,,,,,,,,,,,,なし,なし
浜園下り出発2L中継,O,4灯YG式,浜園下り出発2L,なし,なし,なし,なし,,TH70_2L,,,,,,,,,,,,,,なし,なし
浜園下り場内5L,O,4灯YG式,浜園下り出発2L,なし,なし,なし,なし,,TH70_5L,,,,,,,,,,,,,,なし,なし
浜園入換11R,O,入換信号機,なし,なし,なし,なし,なし,,TH70_11R,,,,,,,,,,,,,,なし,なし
浜園入換12L,O,入換信号機,なし,なし,なし,なし,なし,,TH70_12L,,,,,,,,,,,,,,なし,なし
珠川上り出発11R,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
珠川下り出発11L,X,4灯YG式,なし,なし,なし,なし,なし,,,,,,,,,,,,,,,,なし,なし
藤江上り出発14R,O,3灯式,上り閉塞188,なし,なし,なし,なし,,TH64_14R,,,,,,,,,,,,,,なし,なし
藤江上り出発15R,O,4灯YG式,上り閉塞188,なし,なし,なし,なし,,TH64_15R,,,,,,,,,,,,,,なし,なし
